faculty,programme,programme_slug,career_title
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Islamic Heritage Researcher
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic Education Teacher
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic Studies Lecturer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Curriculum Developer For Islamic Education
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Tahfiz School Teacher
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Religious School Administrator
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Educational Consultant
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic Education Researcher
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Textbook Writer For Islamic Subjects
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Da’wah Officer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic Education Inspector
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic NGO Education Officer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Religious Counsellor
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Education Policy Advisor (Islamic Education)
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic Education Trainer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic Youth Educator
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Education Officer In Religious Institutions
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic E-Learning Content Developer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Moral And Civic Education Teacher (Islamic Perspective)
